id_number,firstname,lastname,college
11530642,,,CLA
11820209,,,RVR-COB
11607653,,,RVR-COB
11941030,,,GCOE
11907339,,,RVR-COB
11533099,,,CLA
11921013,,,CLA
11827777,,,SOE
11435089,,,CLA
11519614,,,CLA
11837942,,,CLA
11542179,,,CLA
11922184,,,CLA
11827599,,,CLA
11919183,,,CLA
11923784,,,CLA
11934433,,,SOE
11925248,,,CLA
11919256,,,CLA
